token	corpus size	all contexts size	frequency	co-frequency	specificity
font	100097	39242	23	11	0.94
éd	100097	39242	23	11	0.94
écrivains	100097	39242	37	16	0.94
tournant	100097	39242	8	5	0.93
étend	100097	39242	8	5	0.93
riche	100097	39242	8	5	0.93
signe	100097	39242	8	5	0.93
Première	100097	39242	8	5	0.93
Littérature	100097	39242	8	5	0.93
pierre	100097	39242	8	5	0.93
portes	100097	39242	8	5	0.93
contemporain	100097	39242	8	5	0.93
aucun	100097	39242	8	5	0.93
espaces	100097	39242	8	5	0.93
altérité	100097	39242	8	5	0.93
1822	100097	39242	8	5	0.93
contextes	100097	39242	8	5	0.93
miroir	100097	39242	8	5	0.93
prière	100097	39242	8	5	0.93
Vatican	100097	39242	8	5	0.93
ouest	100097	39242	8	5	0.93
déjà	100097	39242	48	19	0.93
ligne	100097	39242	48	19	0.93
alors	100097	39242	46	18	0.92
russe	100097	39242	26	12	0.92
ISBN	100097	39242	26	12	0.92
origine	100097	39242	18	9	0.92
célèbre	100097	39242	18	9	0.92
Comme	100097	39242	18	9	0.92
effet	100097	39242	44	17	0.91
critique	100097	39242	35	15	0.91
dir	100097	39242	35	15	0.91
création	100097	39242	13	7	0.91
prend	100097	39242	13	7	0.91
1832	100097	39242	13	7	0.91
Gros	100097	39242	13	7	0.91
seule	100097	39242	13	7	0.91
sites	100097	39242	13	7	0.91
situation	100097	39242	13	7	0.91
Au	100097	39242	39	16	0.90
20	100097	39242	21	10	0.90
œuvre	100097	39242	41	16	0.90
porte	100097	39242	33	14	0.89
publiés	100097	39242	6	4	0.88
anniversaire	100097	39242	6	4	0.88
Infos	100097	39242	6	4	0.88
1879	100097	39242	6	4	0.88
1865	100097	39242	6	4	0.88
1828	100097	39242	6	4	0.88
conséquence	100097	39242	6	4	0.88
renforcer	100097	39242	6	4	0.88
profondément	100097	39242	6	4	0.88
99	100097	39242	6	4	0.88
événement	100097	39242	6	4	0.88
manifeste	100097	39242	6	4	0.88
correspond	100097	39242	6	4	0.88
spécialistes	100097	39242	6	4	0.88
nu	100097	39242	6	4	0.88
couchant	100097	39242	6	4	0.88
progrès	100097	39242	6	4	0.88
sérail	100097	39242	6	4	0.88
1843	100097	39242	6	4	0.88
Perspective	100097	39242	6	4	0.88
Isabelle	100097	39242	6	4	0.88
souligner	100097	39242	6	4	0.88
fiches	100097	39242	6	4	0.88
Odes	100097	39242	6	4	0.88
hommage	100097	39242	6	4	0.88
disciplines	100097	39242	6	4	0.88
croire	100097	39242	6	4	0.88
paru	100097	39242	6	4	0.88
1950	100097	39242	6	4	0.88
postcoloniales	100097	39242	6	4	0.88
1852	100097	39242	6	4	0.88
tentation	100097	39242	6	4	0.88
incontournable	100097	39242	6	4	0.88
IFRAME	100097	39242	6	4	0.88
liturgie	100097	39242	6	4	0.88
levant	100097	39242	6	4	0.88
pouvoir	100097	39242	30	13	0.88
historique	100097	39242	27	12	0.88
occidental	100097	39242	27	12	0.88
voyageurs	100097	39242	38	15	0.88
Bonaparte	100097	39242	16	8	0.87
sujets	100097	39242	16	8	0.87
Culture	100097	39242	16	8	0.87
Volait	100097	39242	16	8	0.87
source	100097	39242	16	8	0.87
rêve	100097	39242	16	8	0.87
Indes	100097	39242	11	6	0.86
explique	100097	39242	11	6	0.86
Constant	100097	39242	11	6	0.86
N	100097	39242	11	6	0.86
1867	100097	39242	11	6	0.86
permettent	100097	39242	11	6	0.86
connaître	100097	39242	11	6	0.86
Articles	100097	39242	11	6	0.86
2004	100097	39242	11	6	0.86
Lorraine	100097	39242	11	6	0.86
moitié	100097	39242	19	9	0.86
Mille	100097	39242	19	9	0.86
der	100097	39242	19	9	0.86
25	100097	39242	19	9	0.86
2013	100097	39242	19	9	0.86
récits	100097	39242	32	13	0.85
ottoman	100097	39242	32	13	0.85
D	100097	39242	33	13	0.85
Oriental	100097	39242	25	11	0.85
dernier	100097	39242	25	11	0.85
civilisations	100097	39242	22	10	0.85
nouvelle	100097	39242	22	10	0.85
belle	100097	39242	22	10	0.85
auteurs	100097	39242	22	10	0.85
celui	100097	39242	32	12	0.85
ressources	100097	39242	32	12	0.85
région	100097	39242	29	12	0.84
pu	100097	39242	31	12	0.84
Pays	100097	39242	4	3	0.83
traverse	100097	39242	4	3	0.83
connaît	100097	39242	4	3	0.83
facteurs	100097	39242	4	3	0.83
actuelle	100097	39242	4	3	0.83
Aziyadé	100097	39242	4	3	0.83
américaine	100097	39242	4	3	0.83
Autres	100097	39242	4	3	0.83
Qu	100097	39242	4	3	0.83
réside	100097	39242	4	3	0.83
Tours	100097	39242	4	3	0.83
Nos	100097	39242	4	3	0.83
utilisation	100097	39242	4	3	0.83
Auteur	100097	39242	4	3	0.83
Langues	100097	39242	4	3	0.83
oeuvre	100097	39242	4	3	0.83
employé	100097	39242	4	3	0.83
menace	100097	39242	4	3	0.83
Discours	100097	39242	4	3	0.83
Occidental	100097	39242	4	3	0.83
collections	100097	39242	4	3	0.83
demeure	100097	39242	4	3	0.83
Arthur	100097	39242	4	3	0.83
intégral	100097	39242	4	3	0.83
recensé	100097	39242	4	3	0.83
Précédent	100097	39242	4	3	0.83
Kaja	100097	39242	4	3	0.83
victorien	100097	39242	4	3	0.83
pionniers	100097	39242	4	3	0.83
itinéraire	100097	39242	4	3	0.83
ale	100097	39242	4	3	0.83
Région	100097	39242	4	3	0.83
Author	100097	39242	4	3	0.83
appellation	100097	39242	4	3	0.83
désigner	100097	39242	4	3	0.83
Recensé	100097	39242	4	3	0.83
recherches	100097	39242	4	3	0.83
actes	100097	39242	4	3	0.83
architectes	100097	39242	4	3	0.83
orientalism	100097	39242	4	3	0.83
1889	100097	39242	4	3	0.83
émaillé	100097	39242	4	3	0.83
Anatole	100097	39242	4	3	0.83
iconographie	100097	39242	4	3	0.83
lancé	100097	39242	4	3	0.83
influencés	100097	39242	4	3	0.83
1876	100097	39242	4	3	0.83
matériaux	100097	39242	4	3	0.83
étrangeté	100097	39242	4	3	0.83
fameuse	100097	39242	4	3	0.83
admiration	100097	39242	4	3	0.83
relève	100097	39242	4	3	0.83
songer	100097	39242	4	3	0.83
imagerie	100097	39242	4	3	0.83
bagages	100097	39242	4	3	0.83
regards	100097	39242	4	3	0.83
Poetics	100097	39242	4	3	0.83
mascarade	100097	39242	4	3	0.83
Plusieurs	100097	39242	4	3	0.83
Bnf	100097	39242	4	3	0.83
Jan	100097	39242	4	3	0.83
Claude	100097	39242	4	3	0.83
épuise	100097	39242	4	3	0.83
publics	100097	39242	4	3	0.83
générales	100097	39242	4	3	0.83
orientations	100097	39242	4	3	0.83
tôt	100097	39242	4	3	0.83
Vie	100097	39242	4	3	0.83
ISSN	100097	39242	4	3	0.83
nécessaire	100097	39242	4	3	0.83
Liste	100097	39242	4	3	0.83
idéologies	100097	39242	4	3	0.83
prier	100097	39242	4	3	0.83
célébré	100097	39242	4	3	0.83
prêtres	100097	39242	4	3	0.83
célébrer	100097	39242	4	3	0.83
février	100097	39242	4	3	0.83
Biblical	100097	39242	4	3	0.83
Organisation	100097	39242	4	3	0.83
avions	100097	39242	4	3	0.83
expliquent	100097	39242	4	3	0.83
amoureux	100097	39242	4	3	0.83
naïf	100097	39242	4	3	0.83
grave	100097	39242	4	3	0.83
conversation	100097	39242	4	3	0.83
html	100097	39242	4	3	0.83
eux	100097	39242	30	12	0.83
exemple	100097	39242	30	12	0.83
trois	100097	39242	29	11	0.82
musulmans	100097	39242	29	11	0.82
ouvrages	100097	39242	14	7	0.82
romantique	100097	39242	14	7	0.82
2019	100097	39242	14	7	0.82
rend	100097	39242	14	7	0.82
Vous	100097	39242	14	7	0.82
orientation	100097	39242	14	7	0.82
donné	100097	39242	14	7	0.82
°	100097	39242	23	10	0.82
2008	100097	39242	23	10	0.82
vue	100097	39242	27	11	0.82
